pattern,balancing,verdict,criterion,witness,word,verified,time_unary_ms,time_smooth_ms,time_binary_ms,time_total_ms
xyAxBxyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,2.971300000353949,0.0,0.0,2.9733000010310207
xAxyBxyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,4.707000000053085,0.0,0.0,4.709099999672617
xyAxByxy,"буквы A@2; разрезы 2,3,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.6943999997020001,0.0,0.0,0.696099999913713
xyAyBxyx,"буквы A@2; разрезы 2,3,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.7889999997132691,0.0,0.0,0.7903999994596234
xAyByxxy,"буквы B@3; разрезы 3,4,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,0.9611000004952075,0.0,0.0,0.9626999999454711
xAyBxyyx,"буквы B@3; разрезы 3,4,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,0.8259000005637063,0.0,0.0,0.8271999995486112
xAyBxxxy,разрезы 5,НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=BAAABAA} | tau={x=AABA, y=A}",AABAAABAABAAABAAABAA,True,0.7934999994176906,0.04999999873689376,60.948000000280445,61.79660000088916
xAyByyyx,разрезы 5,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=AABA} | tau={x=BAAABAB, y=A}",BAAABABAABAAABAAABAB,True,0.7461000004695961,0.042100000428035855,715.3576000000612,716.1501000009594
xAxyBxxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.3080999983212678,0.0,0.0,3.3100000000558794
xyAyBxxy,"буквы A@2; разрезы 2,3,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.5526000004465459,0.0,0.0,0.5541999998968095
xyAxByyx,"буквы A@2; разрезы 2,3,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.5275999992591096,0.0,0.0,0.528900000063004
xAxyByyx,разрезы 6,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ABA} | tau={x=BAB, y=A}",BABABABABAABAB,True,0.7211000011011492,0.045200000386103056,43.580999999903725,44.352999999318854
xAyxBxxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,2.76789999952598,0.0,0.0,2.7697999994416023
xAyyByyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,0.8769999985815957,0.0,0.0,0.8785999998508487
xyAxBxxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.249100000175531,0.0,0.0,3.2506999996257946
xyAyByyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,0.8990000005724141,0.0,0.0,0.900799999726587
xAxyyBxy,"буквы B@5; разрезы 5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,1.142999999501626,0.0,0.0,1.144600000770879
xAyxyBxy,"буквы B@5; разрезы 3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,1.6126999998959946,0.0,0.0,1.6146999987540767
xAyyxByx,"буквы B@5; разрезы 3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,1.2267999991308898,0.0,0.0,1.2284999993426027
xyAxyBxy,"буквы A@2,B@5; разрезы 2,3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.8299000000988599,0.0,0.0,0.8314999995491235
xyAyxByx,"буквы A@2,B@5; разрезы 2,3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.6843999999546213,0.0,0.0,0.6857000007585157
xAyyxBxy,"буквы B@5; разрезы 3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,1.1231000007683178,0.0,0.0,1.1247999991610413
xAyxyByx,"буквы B@5; разрезы 3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,0.8803000000625616,0.0,0.0,0.8820000002742745
xyAyxBxy,"буквы A@2,B@5; разрезы 2,3,5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.8305000010295771,0.0,0.0,0.8323000001837499
xAxyyByx,"буквы B@5; разрезы 5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,1.0313000002497574,0.0,0.0,1.0332000001653796
xAxxyxBy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ABABBBA} | tau={x=BABB, y=A}",BABBABABBBABBABABBBA,True,0.8754999998927815,0.030299999707494862,74.34250000005704,75.25320000058855
xAxxyyBy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=BA, y=ABBA} | tau={x=BAAB, y=BA}",BAABABAABBAABBABABBA,True,0.7728000000497559,0.02990000029967632,70.1202000000194,70.92659999943862
xAxyxyBy,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=BABABABAB, y=ABABABABA} | tau={x=BABABABABABABAB, y=ABA}",BABABABABABABABABABABABABABABABABABABABABABABABABABABABA,True,0.7626000005984679,0.07270000060088933,0.0,0.8372000011149794
xAxyyyBx,разрезы 5,НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=AABAAAAA} | tau={x=AAAAABA, y=AA}",AAAAABAAAAAAABAAAAAAABAAAAABA,True,0.9243000004062196,0.04579999949783087,430.9198999999353,431.89539999912085
xAyyyyBx,разрезы 4,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABAB, y=BABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABAB,True,0.9788000006665243,0.09030000001075678,0.0,1.0715000007621711
xxAyyByCx,"буквы B@5; разрезы 5,6",НЕОДНОЗНАЧЕН,binary,"sigma={x=AC, y=CACA} | tau={x=ACAC, y=CA}",ACACACACACACABCACACAC,True,0.01630000042496249,0.0068999997893115506,244.36029999924358,244.38780000127736
xxAyByCxx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,binary,"sigma={x=AC, y=CACACA} | tau={x=ACAC, y=CA}",ACACACACACABCACACACACAC,True,0.014600000213249587,0.00799999907030724,255.72560000000522,255.75310000022
xAyBxyCxy,"буквы B@3,C@6; разрезы 3,4,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAACAAA,True,0.011399999493733048,0.00650000038149301,13.928300000770832,13.955000000350992
xAyByxCyx,"буквы B@3,C@6; разрезы 3,4,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAACAAA,True,0.016199999663513154,0.0072999991971300915,12.324199999056873,12.350900000456022
xAxyByCxy,"буквы C@6; разрезы 6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ABA} | tau={x=BAB, y=A}",BABABABABACBABA,True,0.014399998690350913,0.0075000007200287655,84.74559999922349,84.77219999986119
xyAxByCxy,"буквы A@2,C@6; разрезы 2,3,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=BA} | tau={x=AB, y=A}",ABAAABBACABA,True,0.015000001440057531,0.0075000007200287655,21.019400001023314,21.045800000138115
xyAyBxCyx,"буквы A@2,C@6; разрезы 2,3,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBCBBB,True,0.014100000043981709,0.007599999662488699,29.005500000494067,29.03119999973569
xAyByxCxy,"буквы B@3,C@6; разрезы 3,4,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAACAAA,True,0.013999999282532372,0.006800000846851617,11.557300000276882,11.581299999306793
xAyBxyCyx,"буквы B@3,C@6; разрезы 3,4,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAACAAA,True,0.016199999663513154,0.007499998901039362,13.501999999789405,13.537599999835948
xyAyBxCxy,"буквы A@2,C@6; разрезы 2,3,6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBCBBB,True,0.014500001270789653,0.007799999366397969,32.86359999947308,32.89030000087223
xAxyByCyx,"буквы C@6; разрезы 6,7",НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ABA} | tau={x=BAB, y=A}",BABABABABACABAB,True,0.014100000043981709,0.007700000423938036,95.81289999914588,95.8390000014333
xAxyByyCx,разрезы 6,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ACBABA} | tau={x=BABACB, y=A}",BABACBABABACBABAACBABACB,True,0.013700000636163168,0.00670000008540228,4095.266400001492,4095.292199999676
xAyyByyCx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,binary,"sigma={x=AC, y=CACA} | tau={x=ACACAC, y=CA}",ACACACACACABCACACACACAC,True,0.01340000017080456,0.325400000292575,3468.2868999989296,3468.6311000004935
